"27","Crunchbot","934871406206177285","crunches leaves in autumn.","https://pbs.twimg.com/media/DPlUlnOWkAAMHPc.jpg","","autumn crunch crunches","",""
"28","Fishbot","935051603207426048","fishes out flies, wasps, daddy-long-legs etc. that fell into your drink while you went for a wee.","https://pbs.twimg.com/media/DPn4eZgWkAEpNck.jpg","","etc fish fishes flies long wasp wasps wee","",""
"29","Tanglebot","935097926887538688","sits in your hair when its windy to help untangle it.","https://pbs.twimg.com/media/DPoim1pWkAAY67j.jpg","","hair help sit sits untangle","",""
"30","Cowbot","935207402827321344","if you have to cross a field that has too many cows in it, trots ahead of you making a bit of a noise to shoo them away.","https://pbs.twimg.com/media/DPqGLOVX4AAaoPw.jpg","","bit cow cows cross field many noise shoo trot trots","",""
"31","Reachbot","935215840647098368","a small robot for getting things off shelves if you are a person who is also small.","https://pbs.twimg.com/media/DPqN2W3WAAAsyuB.jpg","","person shelves thing things","",""
"32","Lumpbot","935266069559808000","reminds your parents how many sugars you have in your tea when you're visiting.","https://pbs.twimg.com/media/DPq7iBMXkAE8ukH.jpg","","many parent parents remind reminds sugar sugars","",""
"33","Punchbot","935422204136828928","for dealing with nazis.","https://pbs.twimg.com/media/DPtJiPiW0AA-iPr.jpg","","nazi nazis","",""
"34","Bucksbot","935489081139744768","translates your vague, confused mumblings about what kind of coffee you want into a coherent order from the menu that a barista can interpret.","https://pbs.twimg.com/media/DPuGW64X4AAi13t.jpg","","barista coffee coherent confused interpret kind menu mumblings order translates","",""
"35","Shoebot","935554494422831104","dilligently collects toddlers' discarded shoes and arranges them neatly the right  way round so they can get the correct shoes on the correct feet more easily next time.","https://pbs.twimg.com/media/DPvB2i0XkAI20al.jpg","","arranges correct feet next right round shoe shoes time toddler toddlers way","",""
"36","GOATbot","935608722314981377","if someone has a conversation about the best ever tennis players or athletes and serena williams doesn't get mentioned, turns up yelling her name.","https://pbs.twimg.com/media/DPvzLESW0AA2HjA.jpg","","conversation name player players serena someone tennis","",""
"37","Nerdbot","935646348845764608","is exactly as geeky as you, in all the same ways.","https://pbs.twimg.com/media/DPwVZD6XcAI731K.jpg","","geek geeky","",""
"38","Sladebot","935758421164519424","yells ""iiiiiiits's chriiiiiiiiistmaaaaaaaaaas!!!!!!!!"" on december 1st, doesn't stop until january.","https://pbs.twimg.com/media/DPx7UsMX4AEBBN5.jpg","","christmas january yell yells","",""
"39","Namebot","935781163221815296","hovers over your shoulder at social functions and remembers the name of everyone you meet for future reference.","https://pbs.twimg.com/media/DPyQAdbX0AExezT.jpg","","everyone function functions future hover hovers meet refer reference remembers social","",""
"40","Slapbot","935850294432366593","for helping ladies with make-up. by which we mean, it slaps men who say they're wearing too much of it.","https://pbs.twimg.com/media/DPzO2GqWAAAeCeH.jpg","","ladies mean men much slap slaps","",""
"41","Smalltalkbot","935916775782395904","hovers over your shoulder, suggesting plausible, grown-up-sounding answers to innocuous questions like ""so what do you do with yourself?"" so no one at the party knows your main hobby is looking at cats online.","https://pbs.twimg.com/media/DP0LWE-WAAABQDC.jpg","","answer answers cat cats grown hobby hover hovers innocuous main party plausible question questions","",""
"42","Towelbot","935966651438305285","always has a towel.","https://pbs.twimg.com/media/DP04tPRW0AAe226.jpg","","towel","",""
"43","Kickbot","936137113942228997","when a ball lands in front of you in the park, kicks it back to the bigger boys before you have the chance to mess it up and look foolish.","https://pbs.twimg.com/media/DP3TvgCX0AAuOIi.jpg","","ball bigger boy boys chance foolish front mess park","",""
"44","Choicebot","936212524894183425","if you're struggling to choose between two options, jumps in the air and you assign one choice to each side. whichever one faces upwards is the one you go with!","https://pbs.twimg.com/media/DP4YU9xX4AIj5Fp.jpg","","choice choose go jump jumps option options side upward upwards","",""
"45","Trumpbot","936279202030080001","smug little shit you can kick around as much as you want.","https://pbs.twimg.com/media/DP5U9HpXcAIZMDh.jpg","","smug","",""
"46","Morebot","936309022210314240","makes a smaller version of itself, which makes a still smaller version of itself and so on until they're small enough to reshape the universe on a subatomic scale. a very smol, very powerful bot...","https://pbs.twimg.com/media/DP5wF28XUAEo8E1.jpg","","enough power powerful reshape scale smaller smol subatomic universe version","",""
"47","Binsbot","936356614231248896","knows what day the bins go out after bank holidays.","https://pbs.twimg.com/media/DP6bYFLXUAALgPY.jpg","","bank bin bins day holiday holidays know knows","",""
"48","Shadebot","936499778678067200","for keeping the sun off if you're little, freckly or both.","https://pbs.twimg.com/media/DP8dlVDW0AAY3sy.jpg","","freckly sun","",""
"49","Bookbot","936575178905137152","when you buy a new book, hides it from you so you don't feel guilty about adding it to the pile of unread ones still waiting for you.","https://pbs.twimg.com/media/DP9iKNWX4AEU5LL.jpg","","book guilty new one ones pile unread","",""
"50","Bandbot","936641049304485888","fashions and distributes an endless supply of precious, precious hairbands.","https://pbs.twimg.com/media/DP-eEXTXkAEpycy.jpg","","endless fashion fashions hairbands precious supply","",""
"51","Saucerbot","936692125680402433","not an actual saucer, which would be useful, but a flying saucer which zooms around and crashes on a farm in new mexico.","https://pbs.twimg.com/media/DP_MhcOX4AAeHxa.jpg","","actual crash crashes mexico new saucer zoom zooms","",""
"52","Lensbot","936874079662964738","keeps your glasses clear of smears, stops them steaming up when you go into a pub, etc.","https://pbs.twimg.com/media/DQByAiIUMAAjVob.jpg","","clear glass glasses keep keeps pub smear smears stop stops","",""
"53","Allenbot","936939318580523008","literally just an allen key, but comes when you say, ""why do they never give you a fucking allen key with these bastard cabinets?""","https://pbs.twimg.com/media/DQCtVF7WkAAKPqX.jpg","","bastard cabinet cabinets key","",""
"54","Facebot","936993158239580160","holographically projects a calm face in front of your actual face when you need to go outside and do normal human stuff.","https://pbs.twimg.com/media/DQDeT0zX0AER7GW.jpg","","actual face front human normal outside project projects stuff","",""
